city,hdi,avg_sch_dur,gender_empwr,life_exp,pov_pop_perc
Bolaang Mongondow Utara,66.91,8.12,61.99,67.54,8.45
Siau Tagulandang Biaro,67.48,8.75,74.53,70.54,9.56
Minahasa Tenggara,70.47,8.87,78.46,70.07,12.78
Bolaang Mongondow Selatan,65.28,7.80,72.22,64.45,13.27
Bolaang Mongondow Timur,66.08,7.59,73.06,67.81,6.10
Kota Manado,79.12,11.26,83.96,71.80,5.51
Kota Bitung,74.20,9.87,65.15,71.00,6.49
Kota Tomohon,76.67,10.48,81.86,71.79,5.62
Kota Kotamobagu,73.22,10.09,66.93,70.33,5.71
Banggai Kepulauan,65.13,8.19,72.09,65.71,14.84
Banggai,70.36,8.24,73.88,70.61,7.80
Morowali,72.02,9.11,51.09,68.82,13.75
Poso,71.40,9.36,70.77,70.85,15.65
Donggala,65.49,7.86,64.03,66.85,18.40
Toli-Toli,65.42,8.26,68.62,65.30,13.09
Buol,67.69,8.75,60.74,68.17,15.19
Parigi Moutong,65.47,7.47,60.85,63.94,16.64
Tojo Una-Una,64.52,8.38,50.73,65.14,17.16
Sigi,68.16,8.53,67.12,69.57,12.91
Banggai Laut,65.27,8.51,71.14,64.79,15.34
Morowali Utara,68.45,8.70,66.32,69.19,15.08
Kota Palu,81.50,11.60,66.15,70.68,6.83
Kepulauan Selayar,66.91,7.63,68.03,68.34,12.83
Bulukumba,68.28,7.43,69.89,67.69,7.26
Bantaeng,68.30,6.48,80.27,70.42,9.03
Jeneponto,64.00,6.48,68.04,66.24,14.88
Takalar,66.94,7.18,70.66,67.01,8.70
Gowa,69.66,7.97,78.31,70.37,7.53
Sinjai,67.05,7.48,72.48,67.17,9.14
Maros,69.50,7.46,69.93,68.98,9.89
Pangkajene dan Kepulauan,68.29,7.60,57.03,66.49,14.06
Barru,70.60,7.96,63.41,68.91,8.57
Bone,65.67,6.98,58.55,66.88,10.06
Soppeng,68.26,7.74,71.45,69.43,7.25
Wajo,69.05,6.80,55.09,67.17,6.91
Sidenreng Rappang,71.05,7.83,56.80,69.59,4.79
Pinrang,71.12,7.85,67.92,69.39,8.46
Enrekang,72.66,8.89,58.28,70.83,12.33
